start,goal,net_add,net_del,net_temp,full_path,path,action,a_star_cost,a_star_ops,a_star_add,a_star_del,a_star_temp
11|1,4*7*9*10|1,4,1,0,[11|1]~~{(+4  9)}~~>[4*9|1]~~{(+7  10)}~~>[4*7*9*10|1],[11|1]~>[4*9|1]~>[4*7*9*10|1],{(+4  9)}~{(+7  10)}~,40.2,2,4,0,0
11|1,1*11|1,1,0,0,[11|1]~~{(+1)}~~>[1*11|1],[11|1]~>[1*11|1],{(+1)}~,10.1,1,1,0,0
11|1,1*7*11|1,2,0,0,[11|1]~~{(+1  7)}~~>[1*7*11|1],[11|1]~>[1*7*11|1],{(+1  7)}~,20.1,1,2,0,0
11|1,1*4*7*11|1,3,0,0,[11|1]~~{(+1)}~~>[1*11|1]~~{(+4  7)}~~>[1*4*7*11|1],[11|1]~>[1*11|1]~>[1*4*7*11|1],{(+1)}~{(+4  7)}~,30.200000000000003,2,3,0,0
1*11|1,|1,,,,N/A,N/A,N/A,,,,,
1*11|1,1|1,,,,N/A,N/A,N/A,,,,,
1*11|1,2|1,1,2,0,[1*11|1]~~{(+2)}~~>[2|1],[1*11|1]~>[2|1],{(+2)}~,10.1,1,1,0,0
1*11|1,3|1,1,2,0,[1*11|1]~~{(+5)}~~>[5|1]~~{(+3)}~~>[3|1],[1*11|1]~>[5|1]~>[3|1],{(+5)}~{(+3)}~,20.2,2,2,0,0
1*11|1,2*3|1,2,2,0,[1*11|1]~~{(+2  3)}~~>[2*3|1],[1*11|1]~>[2*3|1],{(+2  3)}~,20.1,1,2,0,0
1*11|1,4|1,,,,N/A,N/A,N/A,,,,,
1*11|1,5|1,1,2,0,[1*11|1]~~{(+5)}~~>[5|1],[1*11|1]~>[5|1],{(+5)}~,10.1,1,1,0,0
1*11|1,6|1,,,,N/A,N/A,N/A,,,,,
1*11|1,4*6|1,,,,N/A,N/A,N/A,,,,,
1*11|1,7|1,,,,N/A,N/A,N/A,,,,,
1*11|1,1*7|1,,,,N/A,N/A,N/A,,,,,
1*11|1,5*7|1,2,2,0,[1*11|1]~~{(+5)}~~>[5|1]~~{(+7)}~~>[5*7|1],[1*11|1]~>[5|1]~>[5*7|1],{(+5)}~{(+7)}~,20.2,2,2,0,0
1*11|1,1*5*7|1,2,1,0,[1*11|1]~~{(+5)}~~>[5|1]~~{(+1  7)}~~>[1*5*7|1],[1*11|1]~>[5|1]~>[1*5*7|1],{(+5)}~{(+1  7)}~,30.200000000000003,2,3,0,0
1*11|1,4*5*7|1,3,2,0,[1*11|1]~~{(+5)}~~>[5|1]~~{(+4  7)}~~>[4*5*7|1],[1*11|1]~>[5|1]~>[4*5*7|1],{(+5)}~{(+4  7)}~,30.200000000000003,2,3,0,0
1*11|1,1*4*5*7|1,3,1,0,[1*11|1]~~{(+5)}~~>[5|1]~~{(+7)}~~>[5*7|1]~~{(+1  4)}~~>[1*4*5*7|1],[1*11|1]~>[5|1]~>[5*7|1]~>[1*4*5*7|1],{(+5)}~{(+7)}~{(+1  4)}~,40.3,3,4,0,0
1*11|1,8|1,,,,N/A,N/A,N/A,,,,,
1*11|1,9|1,,,,N/A,N/A,N/A,,,,,
1*11|1,1*9|1,1,1,0,[1*11|1]~~{(+9)}~~>[1*9|1],[1*11|1]~>[1*9|1],{(+9)}~,10.1,1,1,0,0
1*11|1,3*9|1,2,2,0,[1*11|1]~~{(+5)}~~>[5|1]~~{(+3)}~~>[3|1]~~{(+9)}~~>[3*9|1],[1*11|1]~>[5|1]~>[3|1]~>[3*9|1],{(+5)}~{(+3)}~{(+9)}~,30.299999999999997,3,3,0,0
1*11|1,4*9|1,,,,N/A,N/A,N/A,,,,,
1*11|1,5*9|1,2,2,0,[1*11|1]~~{(+5)}~~>[5|1]~~{(+9)}~~>[5*9|1],[1*11|1]~>[5|1]~>[5*9|1],{(+5)}~{(+9)}~,20.2,2,2,0,0
1*11|1,4*5*9|1,3,2,0,[1*11|1]~~{(+5)}~~>[5|1]~~{(+4  9)}~~>[4*5*9|1],[1*11|1]~>[5|1]~>[4*5*9|1],{(+5)}~{(+4  9)}~,30.200000000000003,2,3,0,0
1*11|1,10|1,,,,N/A,N/A,N/A,,,,,
1*11|1,1*10|1,1,1,0,[1*11|1]~~{(+10)}~~>[1*10|1],[1*11|1]~>[1*10|1],{(+10)}~,10.1,1,1,0,0
1*11|1,2*10|1,2,2,0,[1*11|1]~~{(+2  10)}~~>[2*10|1],[1*11|1]~>[2*10|1],{(+2  10)}~,20.1,1,2,0,0
1*11|1,4*10|1,,,,N/A,N/A,N/A,,,,,
1*11|1,5*10|1,2,2,0,[1*11|1]~~{(+5  10)}~~>[5*10|1],[1*11|1]~>[5*10|1],{(+5  10)}~,20.1,1,2,0,0
1*11|1,1*7*10|1,2,1,0,[1*11|1]~~{(+7  10)}~~>[1*7*10|1],[1*11|1]~>[1*7*10|1],{(+7  10)}~,20.1,1,2,0,0
1*11|1,2*7*10|1,3,2,0,[1*11|1]~~{(+2)}~~>[2|1]~~{(+7  10)}~~>[2*7*10|1],[1*11|1]~>[2|1]~>[2*7*10|1],{(+2)}~{(+7  10)}~,30.200000000000003,2,3,0,0
1*11|1,4*7*10|1,3,2,0,[1*11|1]~~{(+5  10)}~~>[5*10|1]~~{(+4  7)}~~>[4*7*10|1],[1*11|1]~>[5*10|1]~>[4*7*10|1],{(+5  10)}~{(+4  7)}~,40.2,2,4,0,0
1*11|1,1*4*7*10|1,3,1,0,[1*11|1]~~{(+10)}~~>[1*10|1]~~{(+4  7)}~~>[1*4*7*10|1],[1*11|1]~>[1*10|1]~>[1*4*7*10|1],{(+10)}~{(+4  7)}~,30.200000000000003,2,3,0,0
1*11|1,5*7*10|1,3,2,0,[1*11|1]~~{(+5)}~~>[5|1]~~{(+7  10)}~~>[5*7*10|1],[1*11|1]~>[5|1]~>[5*7*10|1],{(+5)}~{(+7  10)}~,30.200000000000003,2,3,0,0
1*11|1,8*10|1,,,,N/A,N/A,N/A,,,,,
1*11|1,4*7*9*10|1,4,2,0,[1*11|1]~~{(+5)}~~>[5|1]~~{(+7  10)}~~>[5*7*10|1]~~{(+4  9)}~~>[4*7*9*10|1],[1*11|1]~>[5|1]~>[5*7*10|1]~>[4*7*9*10|1],{(+5)}~{(+7  10)}~{(+4  9)}~,50.300000000000004,3,5,0,0
1*11|1,11|1,,,,N/A,N/A,N/A,,,,,
1*11|1,1*7*11|1,1,0,0,[1*11|1]~~{(+7)}~~>[1*7*11|1],[1*11|1]~>[1*7*11|1],{(+7)}~,10.1,1,1,0,0
1*11|1,1*4*7*11|1,2,0,0,[1*11|1]~~{(+4  7)}~~>[1*4*7*11|1],[1*11|1]~>[1*4*7*11|1],{(+4  7)}~,20.1,1,2,0,0
1*7*11|1,|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,1|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,2|1,1,3,0,[1*7*11|1]~~{(+2)}~~>[2|1],[1*7*11|1]~>[2|1],{(+2)}~,10.1,1,1,0,0
1*7*11|1,3|1,1,3,0,[1*7*11|1]~~{(+3)(-7  11)}~~>[3|1],[1*7*11|1]~>[3|1],{(+3)(-7  11)}~,30.1,1,1,2,0
1*7*11|1,2*3|1,2,3,0,[1*7*11|1]~~{(+2  3)}~~>[2*3|1],[1*7*11|1]~>[2*3|1],{(+2  3)}~,20.1,1,2,0,0
1*7*11|1,4|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,5|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,6|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,4*6|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,7|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,1*7|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,5*7|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,1*5*7|1,1,1,0,[1*7*11|1]~~{(+3  5)(-11)}~~>[1*5*7|1],[1*7*11|1]~>[1*5*7|1],{(+3  5)(-11)}~,30.1,1,2,1,0
1*7*11|1,4*5*7|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,1*4*5*7|1,2,1,0,[1*7*11|1]~~{(+4  5)(-1  11)}~~>[1*4*5*7|1],[1*7*11|1]~>[1*4*5*7|1],{(+4  5)(-1  11)}~,40.1,1,2,2,0
1*7*11|1,8|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,9|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,1*9|1,1,2,0,[1*7*11|1]~~{(+9)}~~>[1*9|1],[1*7*11|1]~>[1*9|1],{(+9)}~,10.1,1,1,0,0
1*7*11|1,3*9|1,2,3,0,[1*7*11|1]~~{(+3)(-7  11)}~~>[3|1]~~{(+9)}~~>[3*9|1],[1*7*11|1]~>[3|1]~>[3*9|1],{(+3)(-7  11)}~{(+9)}~,40.2,2,2,2,0
1*7*11|1,4*9|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,5*9|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,4*5*9|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,10|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,1*10|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,2*10|1,2,3,0,[1*7*11|1]~~{(+2)}~~>[2|1]~~{(+10)}~~>[2*10|1],[1*7*11|1]~>[2|1]~>[2*10|1],{(+2)}~{(+10)}~,20.2,2,2,0,0
1*7*11|1,4*10|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,5*10|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,1*7*10|1,1,1,0,[1*7*11|1]~~{(+10)}~~>[1*7*10|1],[1*7*11|1]~>[1*7*10|1],{(+10)}~,10.1,1,1,0,0
1*7*11|1,2*7*10|1,2,2,0,[1*7*11|1]~~{(+2  10)}~~>[2*7*10|1],[1*7*11|1]~>[2*7*10|1],{(+2  10)}~,20.1,1,2,0,0
1*7*11|1,4*7*10|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,1*4*7*10|1,2,1,0,[1*7*11|1]~~{(+4  10)}~~>[1*4*7*10|1],[1*7*11|1]~>[1*4*7*10|1],{(+4  10)}~,20.1,1,2,0,0
1*7*11|1,5*7*10|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,8*10|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,4*7*9*10|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,11|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,1*11|1,,,,N/A,N/A,N/A,,,,,
1*7*11|1,1*4*7*11|1,1,0,0,[1*7*11|1]~~{(+4)}~~>[1*4*7*11|1],[1*7*11|1]~>[1*4*7*11|1],{(+4)}~,10.1,1,1,0,0
1*4*7*11|1,|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,1|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,2|1,1,4,0,[1*4*7*11|1]~~{(+2)}~~>[2|1],[1*4*7*11|1]~>[2|1],{(+2)}~,10.1,1,1,0,0
1*4*7*11|1,3|1,1,4,0,[1*4*7*11|1]~~{(+3)(-1  11)}~~>[3|1],[1*4*7*11|1]~>[3|1],{(+3)(-1  11)}~,30.1,1,1,2,0
1*4*7*11|1,2*3|1,2,4,0,[1*4*7*11|1]~~{(+2  3)}~~>[2*3|1],[1*4*7*11|1]~>[2*3|1],{(+2  3)}~,20.1,1,2,0,0
1*4*7*11|1,4|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,5|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,6|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,4*6|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,7|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,1*7|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,5*7|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,1*5*7|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,4*5*7|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,1*4*5*7|1,1,1,0,[1*4*7*11|1]~~{(+5)(-1  11)}~~>[1*4*5*7|1],[1*4*7*11|1]~>[1*4*5*7|1],{(+5)(-1  11)}~,30.1,1,1,2,0
1*4*7*11|1,8|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,9|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,1*9|1,1,3,0,[1*4*7*11|1]~~{(+9)}~~>[1*9|1],[1*4*7*11|1]~>[1*9|1],{(+9)}~,10.1,1,1,0,0
1*4*7*11|1,3*9|1,2,4,0,[1*4*7*11|1]~~{(+3)(-1  11)}~~>[3|1]~~{(+9)}~~>[3*9|1],[1*4*7*11|1]~>[3|1]~>[3*9|1],{(+3)(-1  11)}~{(+9)}~,40.2,2,2,2,0
1*4*7*11|1,4*9|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,5*9|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,4*5*9|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,10|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,1*10|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,2*10|1,2,4,0,[1*4*7*11|1]~~{(+2)}~~>[2|1]~~{(+10)}~~>[2*10|1],[1*4*7*11|1]~>[2|1]~>[2*10|1],{(+2)}~{(+10)}~,20.2,2,2,0,0
1*4*7*11|1,4*10|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,5*10|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,1*7*10|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,2*7*10|1,2,3,0,[1*4*7*11|1]~~{(+2  10)}~~>[2*7*10|1],[1*4*7*11|1]~>[2*7*10|1],{(+2  10)}~,20.1,1,2,0,0
1*4*7*11|1,4*7*10|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,1*4*7*10|1,1,1,0,[1*4*7*11|1]~~{(+10)}~~>[1*4*7*10|1],[1*4*7*11|1]~>[1*4*7*10|1],{(+10)}~,10.1,1,1,0,0
1*4*7*11|1,5*7*10|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,8*10|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,4*7*9*10|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,11|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,1*11|1,,,,N/A,N/A,N/A,,,,,
1*4*7*11|1,1*7*11|1,,,,N/A,N/A,N/A,,,,,
